# timestamps [seconds],pts
38861.608215,2843702
38861.639834,2845774
38861.672111,2847889
38861.707863,2850232
38861.739894,2852331
38861.775929,2854693
38861.807917,2856789
38861.839963,2858889
38861.875858,2861242
38861.907855,2863339
38861.939893,2865438
38861.975910,2867799
38862.007959,2869899
38862.043937,2872257
38862.075801,2874345
38862.108124,2876463
38862.143969,2878812
38862.176192,2880924
38862.207961,2883006
38862.243861,2885359
38862.276084,2887471
38862.312223,2889839
38862.343969,2891919
38862.376088,2894024
38862.411798,2896365
38862.443961,2898472
38862.475938,2900568
38862.512422,2902959
38862.544013,2905029
38862.579965,2907385
38862.611840,2909474
38862.643936,2911578
38862.679869,2913933
38862.712027,2916040
38862.744053,2918139
38862.779887,2920487
38862.811810,2922579
38862.848078,2924956
38862.879896,2927041
38862.912248,2929162
38862.947877,2931497
38862.979885,2933594
38863.011846,2935689
38863.047970,2938056
38863.080122,2940163
38863.115886,2942507
38863.147878,2944604
38863.180119,2946717
38863.216221,2949082
38863.247916,2951160
38863.280161,2953273
38863.315831,2955610
38863.347840,2957708
38863.383960,2960075
38863.416037,2962177
38863.447970,2964270
38863.484074,2966636
38863.515933,2968724
38863.551963,2971085
38863.584345,2973208
38863.616009,2975283
38863.651809,2977629
38863.683915,2979733
38863.715896,2981829
38863.752206,2984208
38863.784212,2986306
38863.819868,2988643
38863.851880,2990740
38863.883854,2992836
38863.920201,2995218
38863.952008,2997302
38863.983960,2999396
38864.020149,3001768
38864.051870,3003847
38864.087915,3006209
38864.119956,3008309
38864.152227,3010424
38864.187828,3012757
38864.219821,3014853
38864.252091,3016968
38864.288098,3019328
38864.320465,3021449
38864.355812,3023766
38864.388210,3025889
38864.420348,3027995
38864.455986,3030330
38864.488010,3032429
38864.520013,3034527
38864.555960,3036882
38864.587833,3038971
38864.624027,3041343
38864.656060,3043442
38864.688100,3045542
38864.723763,3047879
38864.756120,3050000
38864.787854,3052079
38864.823909,3054442
38864.856102,3056552
38864.891879,3058897
38864.924132,3061010
38864.955888,3063092
38864.991992,3065458
38865.024005,3067556
38865.059927,3069910
38865.091882,3072004
38865.124120,3074117
38865.160014,3076469
38865.192330,3078587
38865.224204,3080676
38865.260140,3083031
38865.291880,3085111
38865.328261,3087495
38865.359965,3089573
38865.392184,3091684
38865.428134,3094040
38865.460642,3096171
38865.491808,3098213
38865.527945,3100581
38865.560094,3102688
38865.595991,3105041
38865.627868,3107130
38865.659962,3109233
38865.695955,3111592
38865.728087,3113698
38865.759998,3115789
38865.795981,3118147
38865.827947,3120242
38865.863877,3122597
38865.895908,3124696
38865.928075,3126804
38865.963842,3129148
38865.996131,3131264
38866.027903,3133346
38866.064141,3135721
38866.096089,3137815
38866.131875,3140160
38866.164149,3142275
38866.195914,3144357
38866.232011,3146722
38866.263893,3148812
38866.296254,3150932
38866.331858,3153266
38866.364113,3155380
38866.400219,3157746
38866.432009,3159829
38866.464163,3161936
38866.499906,3164279
38866.531893,3166375
38866.563791,3168465
38866.599961,3170836
38866.631874,3172927
38866.667814,3175283
38866.699766,3177377
38866.731819,3179477
38866.767959,3181846
38866.799847,3183935
